Province,Year,Addicted to other drugs,Adhd,Alcoholic,Anxiety Disorder,Autistic Disorder,Dementia,Depression,Epilepsy,Intellectual Disabilities,Learning Disabilities,Male population,Schizophrenia,Self-Harm,Total population,Women population
Phitsanulok,2019,159.483370885,163.871761974,203.944701653,342.525472878,39.495519799,81.531687071,468.518490717,255.566038934,54.277468730,75.180068390,48944.187749229,256.951846647,29.448413885,100000,51055.812250771
Phitsanulok,2020,539.519606790,5.957025319,154.999462700,82.463919115,3.270523704,12.030855055,494.433101438,53.262814613,9.110744605,3.737741376,48974.457209870,87.136095836,33.289259133,100000,51025.542790130
Phitsanulok,2021,61.337173984,172.451823778,197.340561683,342.898393792,43.525802308,110.878737587,548.142014431,264.457584754,61.573086192,52.726378406,48959.332274088,291.115664217,32.319972445,100000,51040.667725912
Phitsanulok,2022,279.496386291,298.649691951,199.336255198,580.155993034,83.707039549,178.764186156,728.180305909,360.838820204,46.346270485,55.922923315,48915.059818611,382.474961782,12.177719030,100000,51084.940181389
Phitsanulok,2023,195.232113904,249.436898870,264.263152963,555.688003425,67.726328699,214.565549242,643.459427659,335.310562579,79.112891843,76.029030992,48861.165770568,416.083994881,64.168027717,100000,51138.834229432
Phra Nakhon Si Ayutthaya,2015,24.437776088,0,8.931572986,591.096462229,0.992396998,2.356942871,377.855157177,32.625051326,1.736694747,1.860744372,48177.276837826,325.010017007,3.597439120,100000,51822.723162174
Phra Nakhon Si Ayutthaya,2016,37.470737580,0.123665801,9.893264048,589.267539830,0.865660604,4.822966223,376.686028609,31.905776553,1.236658006,1.483989607,48162.759033478,585.186568410,4.699300423,100000,51837.240966522
Phra Nakhon Si Ayutthaya,2017,134.914890369,251.242054055,596.899911862,503.961278442,68.934615517,32.743942371,450.783146471,33.482527537,32.620844843,31.389869566,48172.001713518,444.874465141,51.947156693,100000,51827.998286482
Phra Nakhon Si Ayutthaya,2018,309.571353318,319.616802852,1099.976723958,583.738622303,117.237746389,50.472258634,568.425437038,51.819818937,63.702850703,41.284347475,48169.645591640,534.858934937,60.885224614,100000,51830.354408360
Phra Nakhon Si Ayutthaya,2019,151.609107288,94.481037875,111.936836863,331.904317808,26.977143889,36.498488792,411.248858659,202.877887531,29.662651426,38.207448133,48146.389457186,266.597657261,28.441966182,100000,51853.610542814
